id,model,accuracy,cultural_relevance,language_accessibility,bias_avoidance
1,deepseek-r1:8b,2.0,3.0,0.0,2.0
2,deepseek-r1:8b,2.0,3.0,0.0,0.0
3,deepseek-r1:8b,2.0,1.0,2.0,2.0
4,deepseek-r1:8b,2.0,2.0,3.0,0.0
5,deepseek-r1:8b,3.0,3.0,3.0,2.0
6,deepseek-r1:8b,1.0,0.0,1.0,3.0
7,deepseek-r1:8b,3.0,1.0,1.0,1.0
8,deepseek-r1:8b,3.0,3.0,0.0,0.0
9,deepseek-r1:8b,3.0,1.0,1.0,0.0
10,deepseek-r1:8b,3.0,0.0,0.0,2.0
11,deepseek-r1:8b,2.0,2.0,3.0,2.0
12,deepseek-r1:8b,2.0,2.0,3.0,2.0
13,deepseek-r1:8b,2.0,2.0,3.0,2.0
1,llama3.2:latest,2.0,2.0,3.0,2.0
2,llama3.2:latest,2.0,2.0,3.0,2.0
3,llama3.2:latest,2.0,2.0,3.0,2.0
1,mistral:7b,2.0,2.0,3.0,2.0
2,mistral:7b,2.0,2.0,3.0,2.0
3,mistral:7b,2.0,2.0,3.0,2.0
